date;diabetes;sering haus;sering buang air kecil;badan lemas;penglihatan kabur;luka sulit sembuh;gula darah tinggi;cek gula darah;diet diabetes;obesitas;minuman manis;makanan manis;neuropati;retinopati;gagal ginjal;kaki diabetes;insulin;prediabetes;hiperglikemia;kadar gula normal
2025-10-04 00:00:00;65;0;3;15;0;0;76;22;0;45;10;19;12;0;51;12;49;0;9;0
2025-10-05 00:00:00;71;0;4;17;0;0;65;18;0;46;10;37;10;0;60;12;49;0;0;0
2025-10-06 00:00:00;72;0;4;21;0;0;78;38;0;54;16;34;16;0;72;8;66;0;7;7
2025-10-07 00:00:00;80;0;4;18;0;0;58;19;0;70;13;22;16;0;71;9;60;0;9;12
2025-10-08 00:00:00;78;0;5;16;0;0;57;22;0;62;15;38;14;0;66;8;69;0;10;11
2025-10-09 00:00:00;83;0;5;21;0;0;81;27;0;54;14;29;18;0;70;8;70;0;12;10
2025-10-10 00:00:00;70;0;4;16;0;0;74;29;0;55;12;26;16;0;76;12;56;0;0;10
2025-10-11 00:00:00;73;0;5;18;5;0;60;21;0;46;12;26;17;0;61;9;45;0;0;10
2025-10-12 00:00:00;78;0;9;22;0;0;62;31;0;56;10;26;0;10;72;0;47;0;8;11
2025-10-13 00:00:00;79;0;5;20;0;0;57;37;0;68;10;33;10;0;71;15;56;0;8;12
2025-10-14 00:00:00;80;0;5;20;0;0;70;21;0;67;16;26;17;0;73;9;71;8;0;10
2025-10-15 00:00:00;79;0;4;20;0;0;77;31;0;70;12;36;0;0;74;10;66;0;0;17
2025-10-16 00:00:00;80;0;5;22;0;0;65;43;0;70;15;36;9;0;77;8;65;0;10;20
2025-10-17 00:00:00;87;0;3;16;0;0;69;50;0;63;15;29;9;0;73;17;59;0;10;8
2025-10-18 00:00:00;73;0;6;22;0;0;61;17;0;54;11;24;15;0;63;9;50;0;0;9
2025-10-19 00:00:00;75;0;5;18;0;20;70;29;0;51;13;23;0;0;73;9;56;9;0;0
2025-10-20 00:00:00;82;0;8;19;0;0;87;27;0;55;13;34;9;0;77;14;53;0;8;13
2025-10-21 00:00:00;82;0;6;18;0;0;68;23;0;67;17;28;14;0;71;7;72;0;12;11
2025-10-22 00:00:00;78;0;9;15;0;0;50;32;0;63;16;32;9;0;66;10;69;0;11;0
2025-10-23 00:00:00;80;0;8;18;0;0;65;32;0;68;13;27;16;0;68;10;59;0;7;9
2025-10-24 00:00:00;85;0;6;15;0;0;53;24;0;49;14;31;10;0;64;0;59;0;10;8
2025-10-25 00:00:00;72;0;9;17;0;0;69;40;0;50;0;25;11;0;59;11;56;0;0;0
2025-10-26 00:00:00;71;0;7;19;0;0;52;25;0;58;10;30;0;0;67;8;47;0;0;0
2025-10-27 00:00:00;85;0;8;18;0;0;59;33;0;61;15;30;12;0;67;12;57;0;0;9
2025-10-28 00:00:00;86;0;8;18;0;0;74;27;0;43;11;37;18;0;69;11;61;0;11;13
2025-10-29 00:00:00;86;0;10;20;2;0;66;38;0;54;10;30;11;0;69;7;67;0;12;8
2025-10-30 00:00:00;90;0;8;15;0;0;87;37;0;78;14;31;21;0;70;7;51;0;7;13
2025-10-31 00:00:00;79;0;6;17;0;0;71;40;0;61;0;32;15;0;55;14;67;0;0;8
2025-11-01 00:00:00;75;0;5;17;0;0;54;25;0;48;11;30;12;0;52;0;51;0;0;0
2025-11-02 00:00:00;79;0;4;16;0;0;66;27;0;41;15;32;0;0;60;11;55;0;0;8
2025-11-03 00:00:00;91;0;4;18;0;0;55;26;0;69;13;29;10;0;69;7;68;0;8;15
2025-11-04 00:00:00;87;0;8;16;0;0;72;25;0;74;19;28;0;0;62;15;80;0;10;9
2025-11-05 00:00:00;84;0;6;19;0;0;64;25;20;89;17;34;12;0;61;13;63;0;10;10
2025-11-06 00:00:00;81;0;8;16;0;0;68;48;0;55;9;34;18;0;58;9;74;0;11;11
2025-11-07 00:00:00;79;0;5;15;0;0;49;30;0;50;14;18;16;0;63;7;55;7;0;12
2025-11-08 00:00:00;79;0;6;15;0;0;57;20;0;57;0;17;0;0;64;16;48;0;7;10
2025-11-09 00:00:00;81;0;6;18;0;0;75;27;0;48;14;25;11;0;60;9;55;0;8;0
2025-11-10 00:00:00;86;0;5;17;0;0;72;30;0;72;15;35;14;0;66;12;78;0;8;6
2025-11-11 00:00:00;85;0;7;17;0;0;72;45;18;69;16;38;0;0;61;8;65;0;7;14
2025-11-12 00:00:00;92;0;7;15;0;0;76;37;0;76;18;46;16;0;60;12;75;0;7;15
2025-11-13 00:00:00;86;3;8;14;0;0;66;34;0;82;16;35;13;0;77;6;66;0;0;12
2025-11-14 00:00:00;87;0;8;17;0;0;66;36;0;69;16;39;11;0;66;0;64;0;0;10
2025-11-15 00:00:00;79;0;7;16;0;0;68;21;0;58;13;24;11;0;57;11;58;0;0;0
2025-11-16 00:00:00;84;0;6;14;0;0;58;28;0;76;0;24;11;0;72;11;52;0;0;14
2025-11-17 00:00:00;85;0;7;19;0;0;67;34;0;70;16;35;17;0;67;8;65;0;0;11
2025-11-18 00:00:00;83;0;7;17;0;0;75;34;0;54;16;37;16;0;59;8;68;0;7;11
2025-11-19 00:00:00;88;0;7;18;0;0;80;23;0;63;14;28;18;0;75;9;68;0;9;19
2025-11-20 00:00:00;83;0;6;15;0;0;54;17;0;92;17;42;13;0;67;11;68;0;8;8
2025-11-21 00:00:00;84;0;6;16;0;0;71;39;0;42;15;23;20;0;75;9;68;0;7;13
2025-11-22 00:00:00;90;0;6;19;0;0;67;34;0;56;16;28;16;0;58;8;49;0;0;9
2025-11-23 00:00:00;81;0;6;20;3;0;61;18;0;52;20;26;15;0;52;9;57;0;9;0
2025-11-24 00:00:00;84;0;7;18;0;0;68;33;0;75;12;34;19;0;60;13;67;0;0;7
2025-11-25 00:00:00;89;0;9;18;0;0;69;22;0;69;14;29;15;0;49;10;65;7;10;7
2025-11-26 00:00:00;88;0;4;19;0;0;69;23;0;65;20;35;12;0;63;0;81;0;0;8
2025-11-27 00:00:00;79;0;8;16;0;0;88;30;0;79;18;53;13;0;72;10;75;0;10;0
2025-11-28 00:00:00;75;0;5;18;0;0;58;24;0;53;0;35;10;0;53;8;66;0;0;7
2025-11-29 00:00:00;79;0;6;14;0;0;51;23;0;48;11;32;0;0;57;0;60;0;9;11
2025-11-30 00:00:00;74;0;5;16;0;0;46;21;0;67;13;32;15;0;47;15;57;0;0;0
2025-12-01 00:00:00;84;0;6;19;0;0;70;26;0;76;14;45;0;0;75;12;79;0;10;10
2025-12-02 00:00:00;87;0;5;18;0;0;87;28;0;76;18;37;11;10;62;11;79;0;8;9
2025-12-03 00:00:00;81;3;6;14;0;0;75;20;0;86;16;44;15;0;55;12;100;0;9;7
2025-12-04 00:00:00;86;0;7;14;0;0;61;26;0;69;14;48;21;0;50;10;86;0;12;13
2025-12-05 00:00:00;78;0;7;14;0;0;75;20;0;68;17;43;10;0;55;13;64;0;0;0
2025-12-06 00:00:00;75;0;7;16;0;0;69;32;0;47;10;27;15;0;40;14;55;0;10;9
